id,name,movietitle,dialogues,budget,source
8,Liquid Luck,Harry Potter and the Half-Blood Prince,"My god, dear man.  How did you ever manage to kill it?","$250,000,000 ",denum
4,The Lost Prophecy,Harry Potter and the Order of the Phoenix,"Perhaps not. But she took you in, however grudgingly. As long as you can call your Aunt's house your home, you are protected.","$150,000,000 ",denum
2,A Parselmouth,Harry Potter and the Chamber of Secrets,I heard you speaking Parseltongue. Snake language?,"$100,000,000 ",denum
10,New Seeker,Harry Potter and the Philosopher's Stone,Oh...,"$125,000,000 ",denum
4,Wizards Duel,Harry Potter and the Order of the Phoenix,Harry!,"$150,000,000 ",denum
7,The Sorting Hat,Harry Potter and the Philosopher's Stone,"Will you wait along here, please? Now, before we begin, Professor Dumbledore would like to say a few words.","$125,000,000 ",denum
32,In a Cage,Harry Potter and the Chamber of Secrets,He's in there. Vernon,"$100,000,000 ",denum
2,The Yule Ball,Harry Potter and the Goblet of Fire,Traditional?? They're ancient! I look like my great aunt Tessie.,"$150,000,000 ",denum
21,General Counter-Spell,Finite,Terminates allÂ spellÂ effects,Red,spells
22,Bellatrix Lestrange,Human,Slytherin,NULL,character
1,Aunt Marge's Big Mistake,Harry Potter and the Prisoner of Azkaban,My dad wasn't a drunk!,"$130,000,000 ",denum
13,Place to Hide,Harry Potter and the Deathly Hallows Part 1,Severus Snape?,"$200,000,000 ",denum
66,I Hope He Finds Me,Harry Potter and the Prisoner of Azkaban,Harry Potter?,"$130,000,000 ",denum
2,Nick and Other Residents,Harry Potter and the Philosopher's Stone,I know you! You're Nearly Headless Nick!,"$125,000,000 ",denum
3,Sirius Black,Harry Potter and the Prisoner of Azkaban,Ron. You're okay. The dog. Where is it?,"$130,000,000 ",denum
3,The Second Task,Harry Potter and the Goblet of Fire,Next to last.,"$150,000,000 ",denum
2,Fiendfyre,Harry Potter and the Deathly Hallows Part 2,RUN! Goyle's set the bioody place on fire!,"$250,000,000 ",denum
